ORCID;Documents;Citations;H-index
0000-0001-6695-477X;28;426;11
0000-0002-7325-1754;13;35;3
0000-0002-9636-1796;9;93;3
0000-0001-6396-5027;35;277;9
0000-0003-2504-0642;29;123;6
0000-0003-3948-2206;19;53;4
0000-0002-4433-2002;22;190;10
0000-0003-4664-6766;10;261;7
0000-0002-1503-0363;76;143;6
0000-0001-6344-431X;30;317;9
0000-0002-6683-1080;34;434;12
0000-0001-8374-3384;39;345;11
0000-0001-6056-6784;18;391;12
0000-0001-9812-851X;20;65;5
0000-0003-2815-0345;4;13;2
0000-0001-8431-9948;30;34;4
0000-0001-9967-845X;66;1,547;22
0000-0002-1344-6517;34;312;10
0000-0001-9049-3424;15;128;6
0000-0003-3923-5555;23;20;3
0000-0002-1581-2197;43;1,023;14
0000-0001-9304-4974;74;520;11
0000-0002-7967-5216;30;347;9
0000-0003-4711-4454;21;243;9
0000-0003-1006-4131;12;84;4
0000-0001-9412-5012;34;896;11
0000-0002-4792-9410;15;130;7
0000-0003-3303-5958;57;344;10
0000-0003-0768-6714;6;121;4
0000-0002-5891-1371;25;221;7
0000-0001-7966-4616;8;237;6
0000-0002-0120-8247;29;359;10
0000-0002-5681-1780;9;70;4
0000-0002-8220-1505;3;2;1
0000-0002-5604-8009;9;31;3
0000-0001-7632-0690;21;454;8
0000-0001-9451-136X;21;85;5
0000-0001-6722-2722;30;296;11
0000-0002-6839-6078;20;61;4
0000-0002-3597-8653;3;2;1
0000-0002-1525-5829;18;621;10
0000-0002-3535-9377;72;809;15
